detail_url,price,predicted_price,value_score,future_value,total_depreciation,total_cost_of_ownership,estimated_annual_fuel,estimated_annual_insurance,estimated_annual_maintenance,annual_depreciation,annual_running_cost,total_annual_cost,cost_per_km,kilometers,age_in_years,horsepower,fuel_type
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-allure-carplay-camera-half-leer-gasoline-black-f52e7157-e828-4171-9221-737b0f07717b?sort=standard&desc=0&lastSeenGuidPresent=true&position=626&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14345,14336.08,-0.06222063492949309,7623.33,6721.67,55871.33249999999,6300.0,471.9325,3058.0,1344.334,9829.932499999999,11174.266499999998,0.27935666249999996,129448,3.5,131,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-100-active-gasoline-grey-fa99e17b-6c64-40db-a5df-e1d667d929e0?sort=standard&desc=0&lastSeenGuidPresent=true&position=201&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13999,14119.43,0.8529381143573097,7006.33,6992.67,56104.52915,6300.0,464.37183000000005,3058.0,1398.534,9822.37183,11220.90583,0.28052264575,130506,3.83,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-100-active-gasoline-grey-fa99e17b-6c64-40db-a5df-e1d667d929e0?sort=standard&desc=0&lastSeenGuidPresent=true&position=501&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13999,14119.43,0.8529381143573097,7006.33,6992.67,56104.52915,6300.0,464.37183000000005,3058.0,1398.534,9822.37183,11220.90583,0.28052264575,130506,3.83,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-100-active-gasoline-grey-fa99e17b-6c64-40db-a5df-e1d667d929e0?sort=standard&desc=0&lastSeenGuidPresent=true&position=533&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13999,14119.43,0.8529381143573097,7006.33,6992.67,56104.52915,6300.0,464.37183000000005,3058.0,1398.534,9822.37183,11220.90583,0.28052264575,130506,3.83,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-100-active-distr-nieuw-top-onder-gasoline-white-40c3c882-2e74-469c-9767-ffa8edfdbe82?sort=standard&desc=0&lastSeenGuidPresent=true&position=258&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13940,13949.44,0.06767296751697924,6968.95,6971.05,56109.076,6300.0,469.6052,3058.0,1394.21,9827.6052,11221.815200000001,0.28054538,148033,3.42,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-100-active-distr-nieuw-top-onder-gasoline-white-40c3c882-2e74-469c-9767-ffa8edfdbe82?sort=standard&desc=0&lastSeenGuidPresent=true&position=544&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13940,13949.44,0.06767296751697924,6968.95,6971.05,56109.076,6300.0,469.6052,3058.0,1394.21,9827.6052,11221.815200000001,0.28054538,148033,3.42,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-puretech-100-active-distr-nieuw-top-onder-gasoline-white-40c3c882-2e74-469c-9767-ffa8edfdbe82?sort=standard&desc=0&lastSeenGuidPresent=true&position=586&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13940,13949.44,0.06767296751697924,6968.95,6971.05,56109.076,6300.0,469.6052,3058.0,1394.21,9827.6052,11221.815200000001,0.28054538,148033,3.42,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-puretech-100-allure-pack-camera-achter-carplay-gasoline-grey-1cd17c65-5dfc-4192-a6fb-af58e610d993?sort=standard&desc=0&lastSeenGuidPresent=true&position=168&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13995,14072.5,0.5507194883638301,6991.79,7003.21,56114.90575,6300.0,464.33915,3058.0,1400.642,9822.33915,11222.98115,0.28057452875,132243,3.83,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-puretech-100-allure-pack-camera-achter-carplay-gasoline-grey-1cd17c65-5dfc-4192-a6fb-af58e610d993?sort=standard&desc=0&lastSeenGuidPresent=true&position=176&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,13995,14072.5,0.5507194883638301,6991.79,7003.21,56114.90575,6300.0,464.33915,3058.0,1400.642,9822.33915,11222.98115,0.28057452875,132243,3.83,101,Gasoline
https://www.autoscout24.com/offers/peugeot-2008-1-2-active-business-led-camera-nav-car-pla-gasoline-black-2cf41812-6342-40fd-9e23-322317ac1aae?sort=standard&desc=0&lastSeenGuidPresent=true&position=227&search_id=yon2xdqqgm&source_otp=t10&ap_tier=t10&source=listpage_search-results&order_bucket=unknown&boosting_product=none&relevance_adjustment=organic&applied_boost_level=t10&boost_level=t10,14500,14671.79,1.170886442622208,6004.52,8495.48,56339.67999999999,6300.0,464.84,2804.0,1699.096,9568.84,11267.935999999998,0.28169839999999996,98743,4.08,102,Gasoline
